Seq,Source,Tsend_pc_ns,Trecv_rpi_ns,Tsend2_rpi_ns,Trecv2_pc_ns,OneWay_PC_to_RPI_ms,RPI_Internal_ms,OneWay_RPI_to_PC_ms,RTT_ms,Linear_X,Angular_Z
108,nav2,1768474345339197175,1768474345341123454,1768474345341160046,1768474345342420073,1.9263,0.0366,1.2600,3.2229,0.200000,0.000000
109,nav2,1768474345391404761,1768474345393395533,1768474345393435977,1768474345395270163,1.9908,0.0404,1.8342,3.8654,0.200000,0.000000
110,nav2,1768474345444258112,1768474345446286663,1768474345446329126,1768474345448415593,2.0286,0.0425,2.0865,4.1575,0.200000,0.000000
111,nav2,1768474345495531554,1768474345497254861,1768474345497294472,1768474345498280984,1.7233,0.0396,0.9865,2.7494,0.200000,0.000000
112,nav2,1768474345559444871,1768474345561823793,1768474345561912440,1768474345563202140,2.3789,0.0886,1.2897,3.7573,0.200000,0.000000
113,nav2,1768474345590242489,1768474345592653610,1768474345592694980,1768474345593732612,2.4111,0.0414,1.0376,3.4901,0.200000,0.000000
114,nav2,1768474345642310406,1768474345647816560,1768474345647852004,1768474345650893652,5.5062,0.0354,3.0416,8.5832,0.200000,0.000000
115,nav2,1768474345695585812,1768474345697430025,1768474345697468654,1768474345698569762,1.8442,0.0386,1.1011,2.9840,0.200000,0.000000
116,nav2,1768474345749843251,1768474345751769295,1768474345751805443,1768474345753342648,1.9260,0.0361,1.5372,3.4994,0.200000,0.000000
117,nav2,1768474345793955249,1768474345795960218,1768474345795994366,1768474345797219856,2.0050,0.0341,1.2255,3.2646,0.200000,0.000000
118,nav2,1768474345846853572,1768474345851264816,1768474345851300186,1768474345852764097,4.4112,0.0354,1.4639,5.9105,0.200000,0.000000
119,nav2,1768474345898172428,1768474345899982860,1768474345900020656,1768474345901371660,1.8104,0.0378,1.3510,3.1992,0.200000,0.000000
120,nav2,1768474345939455189,1768474345941487984,1768474345941526076,1768474345942942322,2.0328,0.0381,1.4162,3.4871,0.200000,0.000000
121,nav2,1768474345991808380,1768474345993757803,1768474345993793266,1768474345994832658,1.9494,0.0355,1.0394,3.0243,0.200000,0.000000
122,nav2,1768474346043049921,1768474346044806389,1768474346044876407,1768474346047413068,1.7565,0.0700,2.5367,4.3631,0.200000,0.000000
123,nav2,1768474346095239976,1768474346097107653,1768474346097145986,1768474346098248641,1.8677,0.0383,1.1027,3.0087,0.200000,0.000000
124,nav2,1768474346149210083,1768474346151106555,1768474346151144388,1768474346152522307,1.8965,0.0378,1.3779,3.3122,0.200000,0.000000
125,nav2,1768474346190084029,1768474346191944553,1768474346191984942,1768474346192924393,1.8605,0.0404,0.9395,2.8404,0.200000,0.000000
126,nav2,1768474346241908263,1768474346244126077,1768474346244165151,1768474346245649847,2.2178,0.0391,1.4847,3.7416,0.200000,0.000000
127,nav2,1768474346285555429,1768474346287608930,1768474346287642337,1768474346288589576,2.0535,0.0334,0.9472,3.0341,0.200000,0.000000
128,nav2,1768474346348572754,1768474346350486205,1768474346350524908,1768474346352898880,1.9135,0.0387,2.3740,4.3261,0.200000,0.000000
129,nav2,1768474346380216837,1768474346382423256,1768474346382453682,1768474346383655856,2.2064,0.0304,1.2022,3.4390,0.200000,0.000000
130,nav2,1768474346441815022,1768474346444450962,1768474346444487332,1768474346445623220,2.6359,0.0364,1.1359,3.8082,0.200000,0.000000
131,nav2,1768474346484066661,1768474346486708026,1768474346486742322,1768474346489963211,2.6414,0.0343,3.2209,5.8966,0.200000,0.000000
132,nav2,1768474346546072148,1768474346547897626,1768474346547934792,1768474346550206616,1.8255,0.0372,2.2718,4.1345,0.200000,0.000000
133,nav2,1768474346579771947,1768474346581576852,1768474346581611074,1768474346582736888,1.8049,0.0342,1.1258,2.9649,0.200000,0.000000
134,nav2,1768474346643672742,1768474346645480510,1768474346645513713,1768474346647288080,1.8078,0.0332,1.7744,3.6153,0.200000,0.000000
135,nav2,1768474346696449626,1768474346698740453,1768474346698773545,1768474346699841117,2.2908,0.0331,1.0676,3.3915,0.200000,0.000000
136,nav2,1768474346748247047,1768474346750722107,1768474346750755848,1768474346751988113,2.4751,0.0337,1.2323,3.7411,0.200000,0.000000
137,nav2,1768474346790159122,1768474346792548896,1768474346792583303,1768474346793669767,2.3898,0.0344,1.0865,3.5106,0.200000,0.000000
138,nav2,1768474346841430607,1768474346845955024,1768474346845988801,1768474346847007495,4.5244,0.0338,1.0187,5.5769,0.200000,0.000000
139,nav2,1768474346893479959,1768474346895951134,1768474346895984856,1768474346896853239,2.4712,0.0337,0.8684,3.3733,0.200000,0.000000
140,nav2,1768474346944942792,1768474346949641445,1768474346949674704,1768474346950976087,4.6987,0.0333,1.3014,6.0333,0.200000,0.000000
141,nav2,1768474346996742994,1768474346998806043,1768474346998845413,1768474347000066062,2.0630,0.0394,1.2206,3.3231,0.200000,0.000000
142,nav2,1768474347037733929,1768474347041288272,1768474347041324068,1768474347042209115,3.5543,0.0358,0.8850,4.4752,0.200000,0.000000
143,nav2,1768474347101025338,1768474347103302645,1768474347103338663,1768474347104330941,2.2773,0.0360,0.9923,3.3056,0.200000,0.000000
144,nav2,1768474347141742077,1768474347146309778,1768474347146342741,1768474347147337876,4.5677,0.0330,0.9951,5.5958,0.200000,0.000000
145,nav2,1768474347193799761,1768474347197356364,1768474347197389197,1768474347198760939,3.5566,0.0328,1.3717,4.9612,0.200000,0.000000
146,nav2,1768474347245976931,1768474347249001076,1768474347249035002,1768474347249910414,3.0241,0.0339,0.8754,3.9335,0.200000,0.000000
147,nav2,1768474347298393786,1768474347300992027,1768474347301093175,1768474347302365166,2.5982,0.1011,1.2720,3.9714,0.200000,0.000000
148,nav2,1768474347341056457,1768474347343710496,1768474347343745236,1768474347345298658,2.6540,0.0347,1.5534,4.2422,0.200000,0.000000
149,nav2,1768474347394253198,1768474347396141703,1768474347396175573,1768474347397365970,1.8885,0.0339,1.1904,3.1128,0.200000,0.000000
150,nav2,1768474347445701914,1768474347450213253,1768474347450247456,1768474347451233100,4.5113,0.0342,0.9856,5.5312,0.200000,0.000000
151,nav2,1768474347497859873,1768474347500603657,1768474347500636657,1768474347502885866,2.7438,0.0330,2.2492,5.0260,0.200000,0.000000
152,nav2,1768474347539724689,1768474347541636191,1768474347541673821,1768474347543223017,1.9115,0.0376,1.5492,3.4983,0.200000,0.000000
153,nav2,1768474347602425692,1768474347605385554,1768474347605423554,1768474347607230720,2.9599,0.0380,1.8072,4.8050,0.200000,0.000000
154,nav2,1768474347643876894,1768474347647248991,1768474347647283787,1768474347649084816,3.3721,0.0348,1.8010,5.2079,0.200000,0.000000
155,nav2,1768474347695048107,1768474347696687142,1768474347696727771,1768474347697730656,1.6390,0.0406,1.0029,2.6825,0.200000,0.000000
156,nav2,1768474347746545857,1768474347749416718,1768474347749449755,1768474347750412744,2.8709,0.0330,0.9630,3.8669,0.200000,0.000000
157,nav2,1768474347798450646,1768474347800572044,1768474347800610581,1768474347801830868,2.1214,0.0385,1.2203,3.3802,0.200000,0.000000
158,nav2,1768474347842197088,1768474347844003360,1768474347844041249,1768474347845064342,1.8063,0.0379,1.0231,2.8673,0.200000,0.000000
159,nav2,1768474347893812926,1768474347896382679,1768474347896415716,1768474347897483021,2.5698,0.0330,1.0673,3.6701,0.200000,0.000000
160,nav2,1768474347938220750,1768474347940070808,1768474347940106438,1768474347941326598,1.8501,0.0356,1.2202,3.1058,0.200000,0.000000
161,nav2,1768474347989662469,1768474347991488448,1768474347991529503,1768474347992616036,1.8260,0.0411,1.0865,2.9536,0.200000,0.000000
162,nav2,1768474348042771780,1768474348044731261,1768474348044795076,1768474348046932274,1.9595,0.0638,2.1372,4.1605,0.200000,0.000000
163,nav2,1768474348094984679,1768474348096837174,1768474348096891563,1768474348099530245,1.8525,0.0544,2.6387,4.5456,0.200000,0.000000
