Seq,Source,Tsend_pc_ns,Trecv_rpi_ns,Tsend2_rpi_ns,Trecv2_pc_ns,OneWay_PC_to_RPI_ms,RPI_Internal_ms,OneWay_RPI_to_PC_ms,RTT_ms,Linear_X,Angular_Z
159,nav2,1768473500988319733,1768473500990553391,1768473500990589668,1768473500992219838,2.2337,0.0363,1.6302,3.9001,0.200000,0.000000
160,nav2,1768473501037999086,1768473501040173780,1768473501040216261,1768473501042367353,2.1747,0.0425,2.1511,4.3683,0.200000,0.000000
161,nav2,1768473501087097714,1768473501088929416,1768473501088965212,1768473501090169835,1.8317,0.0358,1.2046,3.0721,0.200000,0.000000
162,nav2,1768473501126458542,1768473501128747141,1768473501128790493,1768473501132870124,2.2886,0.0434,4.0796,6.4116,0.200000,0.000000
163,nav2,1768473501187062056,1768473501188584692,1768473501188624322,1768473501190678616,1.5226,0.0396,2.0543,3.6166,0.200000,0.000000
164,nav2,1768473501238402671,1768473501240066645,1768473501240104589,1768473501243492998,1.6640,0.0379,3.3884,5.0903,0.200000,0.000000
165,nav2,1768473501286618573,1768473501290731213,1768473501290770657,1768473501292454439,4.1126,0.0394,1.6838,5.8359,0.200000,0.000000
166,nav2,1768473501326699865,1768473501328578876,1768473501328617339,1768473501332267895,1.8790,0.0385,3.6506,5.5680,0.200000,0.000000
167,nav2,1768473501378644781,1768473501381580431,1768473501381619357,1768473501383898133,2.9356,0.0389,2.2788,5.2534,0.200000,0.000000
168,nav2,1768473501437529816,1768473501440808874,1768473501440850059,1768473501443649164,3.2791,0.0412,2.7991,6.1193,0.200000,0.000000
169,nav2,1768473501488026221,1768473501490327431,1768473501490360783,1768473501492507519,2.3012,0.0334,2.1467,4.4813,0.200000,0.000000
170,nav2,1768473501527952559,1768473501529967843,1768473501530002213,1768473501531792917,2.0153,0.0344,1.7907,3.8404,0.200000,0.000000
171,nav2,1768473501586026710,1768473501587439519,1768473501587481463,1768473501589250707,1.4128,0.0419,1.7692,3.2240,0.200000,0.000000
172,nav2,1768473501638500461,1768473501640108113,1768473501640148446,1768473501641679489,1.6077,0.0403,1.5310,3.1790,0.200000,0.000000
173,nav2,1768473501686988745,1768473501688526880,1768473501688567028,1768473501689548892,1.5381,0.0401,0.9819,2.5601,0.200000,0.000000
174,nav2,1768473501738971854,1768473501742501891,1768473501742540502,1768473501744525008,3.5300,0.0386,1.9845,5.5532,0.200000,0.000000
175,nav2,1768473501777899105,1768473501780270407,1768473501780304685,1768473501781865534,2.3713,0.0343,1.5608,3.9664,0.200000,0.000000
176,nav2,1768473501838506502,1768473501840946119,1768473501840984286,1768473501843367457,2.4396,0.0382,2.3832,4.8610,0.200000,0.000000
177,nav2,1768473501878001476,1768473501880302478,1768473501880335700,1768473501881759175,2.3010,0.0332,1.4235,3.7577,0.200000,0.000000
178,nav2,1768473501938635273,1768473501941041690,1768473501941080430,1768473501942860435,2.4064,0.0387,1.7800,4.2252,0.200000,0.000000
